username,acctdesc,location,following,totaltweets,usercreatedts,tweetcreatedts,retweetcount,followers,text,hashtags
TeleskopID,Menceritakan dunia lewat cara pandang kita | Telling the stories of the world through our point of view | ✉ : teleskop0455@gmail.com,Mostly in Middle Power Nations,19,2676,9/23/2020 15:59,12/19/2020 12:12,0,"#Vaksin, dia lawan menggunakan dalih teologis yang amat sempit. Setelah itu gerakan ini makin menjamur dan pada abad ke-19, saat #Inggris mewajibkan #vaksin mereka membuat organisasi Liga Anti-Vaksinasi.
#vaksinasi #antivaxxers #antivax #antivaxx #vaksinasi #covid19","[{'text': 'Vaksin', 'indices': [0, 7]}, {'text': 'Inggris', 'indices': [129, 137]}, {'text': 'vaksin', 'indices': [149, 156]}, {'text': 'vaksinasi', 'indices': [204, 214]}, {'text': 'antivaxxers', 'indices': [215, 227]}, {'text': 'antivax', 'indices': [228, 236]}, {'text': 'antivaxx', 'indices': [237, 246]}, {'text': 'vaksinasi', 'indices': [247, 257]}, {'text': 'covid19', 'indices': [258, 266]}]",405
TeleskopID,Menceritakan dunia lewat cara pandang kita | Telling the stories of the world through our point of view | ✉ : teleskop0455@gmail.com,Mostly in Middle Power Nations,19,2676,9/23/2020 15:59,12/19/2020 12:11,0,"Jadi, gerakan #antivax ini sudah ada sejak abad ke-18. Ketika itu, Pendeta Edmund Massey di #Inggris menyebut #vaksin sebagai ""operasi jahat"" dalam tiap khotbahnya. Dia mencela #vaksinasi, sebagai upaya menantang hukuman Tuhan atas dosa umatnya.
#antivaxx #antivaxxers #COVID19","[{'text': 'antivax', 'indices': [14, 22]}, {'text': 'Inggris', 'indices': [92, 100]}, {'text': 'vaksin', 'indices': [110, 117]}, {'text': 'vaksinasi', 'indices': [177, 187]}, {'text': 'antivaxx', 'indices': [246, 255]}, {'text': 'antivaxxers', 'indices': [256, 268]}, {'text': 'COVID19', 'indices': [269, 277]}]",405
TeleskopID,Menceritakan dunia lewat cara pandang kita | Telling the stories of the world through our point of view | ✉ : teleskop0455@gmail.com,Mostly in Middle Power Nations,19,2676,9/23/2020 15:59,12/19/2020 12:10,2,"GILE BENER! Sudah wabah #COVID19 begini, masih ada aja orang yang menolak #vaksinasi. Sebenarnya, seperti apa sih sejarah awalnya? Ternyata #antivax ini sudah berlangsung lama, selama kemunculan #vaksin itu sendiri! Mari kita simak. 
#corona #antivaxxers #Pfizer 
📽 @SamPancher https://t.co/LNG2v97BDi","[{'text': 'COVID19', 'indices': [24, 32]}, {'text': 'vaksinasi', 'indices': [74, 84]}, {'text': 'antivax', 'indices': [140, 148]}, {'text': 'vaksin', 'indices': [195, 202]}, {'text': 'corona', 'indices': [234, 241]}, {'text': 'antivaxxers', 'indices': [242, 254]}, {'text': 'Pfizer', 'indices': [255, 262]}]",405
syahpewaris,,"Kuala Kedah, Kedah",637,17197,7/24/2015 1:25,12/19/2020 11:58,59,"COVID-19 boleh dicegah menggunakan vaksin. 

Beginilah cara vaksin berfungsi dalam badan kita!

#KomunikasiKita
#VaksinCOVID19 
#JabatanPenerangan https://t.co/wlLG5ERx2o","[{'text': 'KomunikasiKita', 'indices': [113, 128]}]",92
percayaNgl,,indonesia,818,4550,11/15/2011 6:49,12/19/2020 11:38,5,"Ternyata negara-negara ini juga berencana membeli dan bahkan mulai menetapkan tanggal pemberian vaksin Sinovac. 

#VaksinUntukKita https://t.co/5zoyAkkoQh",[],330
Demokrat_TV,Demokrat Siap,Jakarta,24483,169188,4/20/2011 1:44,12/19/2020 11:36,7,"""Pemerintah &amp; Kemenkes RI juga tolong jelaskan 'kemanjuran' vaksin Sinovac ini. Hak publik mengetahuinya karena belinya pakai uang rakyat. Jangan sampai sia-sia, disuntikkan ke tubuh rakyat ternyata tak ampuh tangkal corona...""
(Jansen Sitindaon; Wasekjen PD)

#VaksinCovid19 https://t.co/ppfjQGcrum",[],6124191
MuhammadYamin,,"ÜT: -6.265986,106.800441",445,5518,5/12/2009 3:24,12/19/2020 11:34,1,"Ha, vaksin lah kalua. Nan ka sato disuntik buliah malapor, perai kaba nyo tapi.....

#covid19indonesia 
#vaksìncovid19 https://t.co/lWpNAHSx7N","[{'text': 'covid19indonesia', 'indices': [101, 118]}, {'text': 'vaksìncovid19', 'indices': [120, 134]}]",568
imunicareID,"Official Account of Imunicare by @biofarmaID | One Stop Vaccination Center
#sahabatimunicare","Jalan Pasteur No. 28, Bandung",58,61,10/26/2019 1:45,12/19/2020 11:33,1,"Sahabat Imunicare, IDAI telah mengeluarkan jadwal imunisasi anak 0-18 tahun terbaru nih! Kira-kira apa saja ya perbedaan nya? Yuk kita simak info dari Imunicare ini!

Mari Wujudkan Indonesia Sehat dengan Vaksinasi!

#vaksinbandung #vaksin #imunisasi #vaksinjakarta #imunicare https://t.co/7obStGjqwq","[{'text': 'vaksinbandung', 'indices': [216, 230]}, {'text': 'vaksin', 'indices': [231, 238]}, {'text': 'imunisasi', 'indices': [239, 249]}, {'text': 'vaksinjakarta', 'indices': [250, 264]}, {'text': 'imunicare', 'indices': [265, 275]}]",32
cmslbn,,,1816,11739,5/26/2019 5:40,12/19/2020 11:33,59,"COVID-19 boleh dicegah menggunakan vaksin. 

Beginilah cara vaksin berfungsi dalam badan kita!

#KomunikasiKita
#VaksinCOVID19 
#JabatanPenerangan https://t.co/wlLG5ERx2o","[{'text': 'KomunikasiKita', 'indices': [113, 128]}]",1006
netralnews,"Akun Resmi https://t.co/9YQ7Wv9dd8
Cermin Bangsa","Jakarta Capital Region, Indone",163,137930,2/12/2016 12:00,12/19/2020 11:13,0,"Uji Coba 95 Persen Efektif, Vaksin Moderna Sah dan Siap Digunakan di AS

#Peristiwa #AmerikaSerikat #vaksinCOVID19
#Moderna

https://t.co/gaON8rvBaq","[{'text': 'Peristiwa', 'indices': [73, 83]}, {'text': 'AmerikaSerikat', 'indices': [84, 99]}, {'text': 'vaksinCOVID19', 'indices': [100, 114]}, {'text': 'Moderna', 'indices': [115, 123]}]",1590
VaksinUntukKita,"Tempat buat saling kasih semangat

-Cari tahu sama-sama informasi tentang vaksin 
-Belajar sama-sama lewat faktanya
-Sama-sama untuk tetap jalanin protokol 3M",Indonesia,3,294,11/8/2020 15:48,12/19/2020 11:12,1,"Sambil kita menunggu dan percayakan vaksin Sinovac di Indonesia kepada BPOM, disiplin 3Mnya harus tetep jalan ya! 

Sumber: https://t.co/82APsyPVwW
https://t.co/HQCCGoOGlj

#VaksinUntukKita","[{'text': 'VaksinUntukKita', 'indices': [173, 189]}]",4919
VaksinUntukKita,"Tempat buat saling kasih semangat

-Cari tahu sama-sama informasi tentang vaksin 
-Belajar sama-sama lewat faktanya
-Sama-sama untuk tetap jalanin protokol 3M",Indonesia,3,294,11/8/2020 15:48,12/19/2020 11:12,5,"Ternyata negara-negara ini juga berencana membeli dan bahkan mulai menetapkan tanggal pemberian vaksin Sinovac. 

#VaksinUntukKita https://t.co/5zoyAkkoQh","[{'text': 'VaksinUntukKita', 'indices': [114, 130]}]",4919
VaksinUntukKita,"Tempat buat saling kasih semangat

-Cari tahu sama-sama informasi tentang vaksin 
-Belajar sama-sama lewat faktanya
-Sama-sama untuk tetap jalanin protokol 3M",Indonesia,3,294,11/8/2020 15:48,12/19/2020 11:12,3,"Gak cuma Indonesia yang akan menggunakan vaksin Sinovac. 

#VaksinUntukKita https://t.co/zqz2vwaKIl","[{'text': 'VaksinUntukKita', 'indices': [59, 75]}]",4919
PKarendra,Entahlah,,292,6933,11/20/2020 7:23,12/19/2020 11:05,4,"Orang Pertama Penerima #VaksinCorona , LaNyalla  Apresiasi Jokowi via @spiritsumbar https://t.co/GGmtDwVLkL  #VaksinUntukKita","[{'text': 'VaksinCorona', 'indices': [42, 55]}]",143
potekantropus,"En attendant Godot ~ ☺
#YNWA",Land of the Giants,384,7043,10/17/2009 14:25,12/19/2020 11:00,0,Risma hingga Djarot Potensial Jadi Mensos Menurut Ketua DPP PDI-P https://t.co/clAMv6yZId #pakaimasker #JagaJarak #cucitangan #IndonesiaSehat #jagakesehatan #BersamaLawanCorona #VaksinUntukKita  #ingatpesanibujagajarak #dirumahaja #cucitanganpakaisabun #malamminggu #SabtuRebahan,"[{'text': 'pakaimasker', 'indices': [90, 102]}, {'text': 'JagaJarak', 'indices': [103, 113]}, {'text': 'cucitangan', 'indices': [114, 125]}, {'text': 'IndonesiaSehat', 'indices': [126, 141]}, {'text': 'jagakesehatan', 'indices': [142, 156]}, {'text': 'BersamaLawanCorona', 'indices': [157, 176]}, {'text': 'VaksinUntukKita', 'indices': [177, 193]}, {'text': 'ingatpesanibujagajarak', 'indices': [195, 218]}, {'text': 'dirumahaja', 'indices': [219, 230]}, {'text': 'cucitanganpakaisabun', 'indices': [231, 252]}, {'text': 'malamminggu', 'indices': [253, 265]}, {'text': 'SabtuRebahan', 'indices': [266, 279]}]",1049
gajebohcom,"The first news and story sharing platform for Kanti, solely in #Minangkabau language. Subscribe to our newsletter here 👇",Nagari Tuah Sakato,12,251,5/22/2020 13:32,12/19/2020 11:00,1,"Ha, vaksin lah kalua. Nan ka sato disuntik buliah malapor, perai kaba nyo tapi.....

#covid19indonesia 
#vaksìncovid19 https://t.co/lWpNAHSx7N","[{'text': 'covid19indonesia', 'indices': [85, 102]}, {'text': 'vaksìncovid19', 'indices': [104, 118]}]",22
VaksinUntukKita,"Tempat buat saling kasih semangat

-Cari tahu sama-sama informasi tentang vaksin 
-Belajar sama-sama lewat faktanya
-Sama-sama untuk tetap jalanin protokol 3M",Indonesia,3,294,11/8/2020 15:48,12/19/2020 10:43,0,"Yuk dibaca catatan si vaksin biar kita makin paham tentang perencanaan awal distribusi vaksin Covid-19! 

Selagi nunggu vaksinnya bisa digunakan, yuk kita berdoa agar vaksinnya bisa cepat digunakan, tetap jaga kesehatan, dan selalu ikuti protokol kesehatan 3M :)

#VaksinUntukKita","[{'text': 'VaksinUntukKita', 'indices': [264, 280]}]",4919
VaksinUntukKita,"Tempat buat saling kasih semangat

-Cari tahu sama-sama informasi tentang vaksin 
-Belajar sama-sama lewat faktanya
-Sama-sama untuk tetap jalanin protokol 3M",Indonesia,3,294,11/8/2020 15:48,12/19/2020 10:43,3,"Dengan kehadiran vaksin, Organisasi Kesehatan Dunia (WHO) menghimbau negara-negara buat melakukan perencanaan awal distribusi vaksin Covid-19 agar proses vaksinasi nantinya bisa dilakukan dengan cepat dan efisien! 

#VaksinUntukKita https://t.co/EgWFlF4I5I","[{'text': 'VaksinUntukKita', 'indices': [216, 232]}]",4919
jamesking180,,,111,14429,3/16/2012 1:28,12/19/2020 10:42,59,"COVID-19 boleh dicegah menggunakan vaksin. 

Beginilah cara vaksin berfungsi dalam badan kita!

#KomunikasiKita
#VaksinCOVID19 
#JabatanPenerangan https://t.co/wlLG5ERx2o","[{'text': 'KomunikasiKita', 'indices': [113, 128]}]",101
NewsPresisi,"Presisi bertujuan untuk memberikan informasi yang berkualitas dari fenomena banjir informasi.
Find us on IG/FB/Tiktok: PresisiNews",,12,3357,7/21/2020 9:38,12/19/2020 10:20,0,"Presiden Brasil, Jair Bolsonaro, menebar keraguan soal efek samping vaksin Corona yang disebutnya bisa mengubah manusia menjadi buaya atau membuat wanita berjanggut. 

#brasil #vaksin https://t.co/u726TVXEYU","[{'text': 'brasil', 'indices': [168, 175]}, {'text': 'vaksin', 'indices': [176, 183]}]",38
id_indicator,"Lembaga riset berbasis software Artificial Intelligence (AI) untuk menganalisis fenomena politik, ekonomi, sosial di Indonesia.","Jakarta, Indonesia",433,994,5/23/2013 5:57,12/19/2020 10:19,0,"Lalu, bagaimana respon warga Twitter? Simak selengkapnya di https://t.co/Pj6AV7JX0x

#IndonesiaIndicator #Vaksin","[{'text': 'IndonesiaIndicator', 'indices': [85, 104]}, {'text': 'Vaksin', 'indices': [105, 112]}]",1852
id_indicator,"Lembaga riset berbasis software Artificial Intelligence (AI) untuk menganalisis fenomena politik, ekonomi, sosial di Indonesia.","Jakarta, Indonesia",433,994,5/23/2013 5:57,12/19/2020 10:19,0,"Adapun hasil pantauan di media sosial, terutama Twitter, terdapat 57.250 twit warganet tentang vaksin Covid-19 dalam rentang waktu sama.

#IndonesiaIndicator #Vaksin","[{'text': 'IndonesiaIndicator', 'indices': [138, 157]}, {'text': 'Vaksin', 'indices': [158, 165]}]",1852
id_indicator,"Lembaga riset berbasis software Artificial Intelligence (AI) untuk menganalisis fenomena politik, ekonomi, sosial di Indonesia.","Jakarta, Indonesia",433,994,5/23/2013 5:57,12/19/2020 10:19,0,"Sebaran pemberitaan tentang vaksin dominan di Pulau Jawa, tertinggi di DKI Jakarta dengan 2.955. Artinya, isu ini cenderung diwacanakan masyarakat atau media di Jabodetabek daripada daerah lainnya.

#IndonesiaIndicator #Vaksin","[{'text': 'IndonesiaIndicator', 'indices': [199, 218]}, {'text': 'Vaksin', 'indices': [219, 226]}]",1852
id_indicator,"Lembaga riset berbasis software Artificial Intelligence (AI) untuk menganalisis fenomena politik, ekonomi, sosial di Indonesia.","Jakarta, Indonesia",433,994,5/23/2013 5:57,12/19/2020 10:19,0,"Sementara itu, Bisnis Indonesia menjadi media yang terbanyak memberitakan vaksin dengan 556 artikel. Posisi dua hingga 10 diisi media nasional lainnya.

#IndonesiaIndicator #Vaksin","[{'text': 'IndonesiaIndicator', 'indices': [153, 172]}, {'text': 'Vaksin', 'indices': [173, 180]}]",1852
id_indicator,"Lembaga riset berbasis software Artificial Intelligence (AI) untuk menganalisis fenomena politik, ekonomi, sosial di Indonesia.","Jakarta, Indonesia",433,994,5/23/2013 5:57,12/19/2020 10:19,0,"Pernyataan kedua terbanyak yang dikutip adalah Ketua Komite Penanganan Covid-19 dan Pemulihan Ekonomi Nasional (KPC-PEN) sekaligus Menteri Koordinator Bidang Perekonomian, Airlangga Hartarto, dengan 2.733 pernyataan.

#IndonesiaIndicator #Vaksin","[{'text': 'IndonesiaIndicator', 'indices': [218, 237]}, {'text': 'Vaksin', 'indices': [238, 245]}]",1852
id_indicator,"Lembaga riset berbasis software Artificial Intelligence (AI) untuk menganalisis fenomena politik, ekonomi, sosial di Indonesia.","Jakarta, Indonesia",433,994,5/23/2013 5:57,12/19/2020 10:19,0,"Pemantauan Datamin dalam portal daring juga mendapati Presiden Jokowi sebagai tokoh yang pernyataannya paling banyak dikutip media tentang vaksin dengan 6.743 pernyataan, terutama kehadiran 1,2 juta dosis CoronaVac. 

#IndonesiaIndicator #Vaksin","[{'text': 'IndonesiaIndicator', 'indices': [218, 237]}, {'text': 'Vaksin', 'indices': [238, 245]}]",1852
id_indicator,"Lembaga riset berbasis software Artificial Intelligence (AI) untuk menganalisis fenomena politik, ekonomi, sosial di Indonesia.","Jakarta, Indonesia",433,994,5/23/2013 5:57,12/19/2020 10:19,0,"Beberapa hal terkait diulas, tertinggi tentang kedatangan 1,2 juta CoronaVac dengan 6.179 berita. Selanjutnya uji klinis 4.517 berita, wacana harga 3.590 berita, penerima prioritas 3.380 berita, dan berita lainnya.

#IndonesiaIndicator #Vaksin","[{'text': 'IndonesiaIndicator', 'indices': [216, 235]}, {'text': 'Vaksin', 'indices': [236, 243]}]",1852
id_indicator,"Lembaga riset berbasis software Artificial Intelligence (AI) untuk menganalisis fenomena politik, ekonomi, sosial di Indonesia.","Jakarta, Indonesia",433,994,5/23/2013 5:57,12/19/2020 10:19,0,"Vaksin Covid-19 sudah hadir di Indonesia pada Minggu (6/12). Datamin memantau, pada periode 1-14 Desember 2020, terdapat 1.300 media daring menyoroti isu vaksin melalui 22.700 artikel yang diterbitkan.

#IndonesiaIndicator #Vaksin","[{'text': 'IndonesiaIndicator', 'indices': [203, 222]}, {'text': 'Vaksin', 'indices': [223, 230]}]",1852
rspuricinere,"Jl. Maribaya No. 1, Puri Cinere, Depok 16514
Telp. (021) 7545488","Cinere, Indonesia",244,1294,3/8/2011 10:37,12/19/2020 10:08,0,"Kenali istilah Vaksin, Vaksinasi, Imunisasi dan Imunitas.

#vaksin #vaksinasi #imunisasi #imunitas #rspuricinere #rspc #cinere #depok @ Rumah Sakit Puri Cinere https://t.co/xOaY7CpK56","[{'text': 'vaksin', 'indices': [59, 66]}, {'text': 'vaksinasi', 'indices': [67, 77]}, {'text': 'imunisasi', 'indices': [78, 88]}, {'text': 'imunitas', 'indices': [89, 98]}, {'text': 'rspuricinere', 'indices': [99, 112]}, {'text': 'rspc', 'indices': [113, 118]}, {'text': 'cinere', 'indices': [119, 126]}, {'text': 'depok', 'indices': [127, 133]}]",699
timescoid,"Media Online Berjaringan No. 1 Indonesia | Berita Positif Indonesia #cekfakta⁣
⁣
𝐄𝐦𝐚𝐢𝐥 : 𝗿𝗲𝗱𝗮𝗸𝘀𝗶@𝘁𝗶𝗺𝗲𝘀𝗶𝗻𝗱𝗼𝗻𝗲𝘀𝗶𝗮.𝗰𝗼.𝗶𝗱",Wisma Mas Isman Jakarta,239,42767,10/18/2018 5:46,12/19/2020 10:00,0,"Bekerja secara profesional dalam memproses uji klinis vaksin Covid-19.
#VaksinUntukKita #Vaksin #vaksingratisutkrakyat #vaksincovid19 #vaksindatangtetapjaga3m #Covid_19 #COVIDIOT #covid #ketahananinformasi #timesindonesia 
https://t.co/IQOxY2Yks3 https://t.co/AxpKCHIw7S","[{'text': 'VaksinUntukKita', 'indices': [71, 87]}, {'text': 'Vaksin', 'indices': [88, 95]}, {'text': 'vaksingratisutkrakyat', 'indices': [96, 118]}, {'text': 'vaksincovid19', 'indices': [119, 133]}, {'text': 'vaksindatangtetapjaga3m', 'indices': [134, 158]}, {'text': 'Covid_19', 'indices': [159, 168]}, {'text': 'COVIDIOT', 'indices': [169, 178]}, {'text': 'covid', 'indices': [179, 185]}, {'text': 'ketahananinformasi', 'indices': [186, 205]}, {'text': 'timesindonesia', 'indices': [206, 221]}]",1109
pikiran_rakyat,"Lebih Tahu Jawa Barat
Kirimkan Foto/Video anda ke :
WA/Telegram : 08112355650
(Pikiran Rakyat)","Bandung, Jawa Barat",18,320689,7/21/2009 18:48,12/19/2020 9:55,0,"Kemenpora Usulkan Atlet Jadi Prioritas Penerima Vaksin Covid-19, ini Alasannya
#Kemenpora #Atlet #Vaksin

Selengkapnya: https://t.co/5Ht23QC8ri via @YouTube","[{'text': 'Kemenpora', 'indices': [79, 89]}, {'text': 'Atlet', 'indices': [90, 96]}, {'text': 'Vaksin', 'indices': [97, 104]}]",427576
lolitasubagya,"Berlatih berbagi, berusaha selalu dekat dengan-Nya | Reporter | I'm living my life | founder of https://t.co/Q9Y68swYuA",Banda Aceh-Yogyakarta,96,807,7/16/2016 16:14,12/19/2020 9:55,1,"Vaksin Covid-19 digratiskan, ini cara mendapatkannya – keepingtimes https://t.co/5Uq1IpbNmp #vaksin #VaksinUntukKita #vaksincorona #vaksincovid19 #vaksingratisutkrakyat #vaksin3mlawancorona https://t.co/i2XEalVmIp","[{'text': 'vaksin', 'indices': [112, 119]}, {'text': 'VaksinUntukKita', 'indices': [120, 136]}]",91
keepingtimesid,"Everything you need, its show times.",Indonesia,9,51,7/4/2020 10:59,12/19/2020 9:54,1,"Vaksin Covid-19 digratiskan, ini cara mendapatkannya – keepingtimes https://t.co/5Uq1IpbNmp #vaksin #VaksinUntukKita #vaksincorona #vaksincovid19 #vaksingratisutkrakyat #vaksin3mlawancorona https://t.co/i2XEalVmIp","[{'text': 'vaksin', 'indices': [92, 99]}, {'text': 'VaksinUntukKita', 'indices': [100, 116]}, {'text': 'vaksincorona', 'indices': [117, 130]}, {'text': 'vaksincovid19', 'indices': [131, 145]}, {'text': 'vaksingratisutkrakyat', 'indices': [146, 168]}, {'text': 'vaksin3mlawancorona', 'indices': [169, 189]}]",3
lolitasubagya,"Berlatih berbagi, berusaha selalu dekat dengan-Nya | Reporter | I'm living my life | founder of https://t.co/Q9Y68swYuA",Banda Aceh-Yogyakarta,96,807,7/16/2016 16:14,12/19/2020 9:53,0,"Vaksin Covid-19 digratiskan, ini cara mendapatkannya – keepingtimes https://t.co/BV1xa22t9l #VaksinUntukKita #vaksingratisutkrakyat #vaksingratis https://t.co/6B1MHhAuwO","[{'text': 'VaksinUntukKita', 'indices': [92, 108]}, {'text': 'vaksingratisutkrakyat', 'indices': [109, 131]}, {'text': 'vaksingratis', 'indices': [132, 145]}]",91
mattzane1,janji allah itu pasti,anak melayu asli,1466,26047,7/26/2012 6:38,12/19/2020 9:50,59,"COVID-19 boleh dicegah menggunakan vaksin. 

Beginilah cara vaksin berfungsi dalam badan kita!

#KomunikasiKita
#VaksinCOVID19 
#JabatanPenerangan https://t.co/wlLG5ERx2o","[{'text': 'KomunikasiKita', 'indices': [113, 128]}]",496
syakirharis25,"""Indeed, all things, We created with mathematics."" (54:49) 
Mathematics is the music of reason. Everything happens for a reason. Mors certa, hora incerta.🌍🌏🌎","Planet Earth, Solar System, 🌌",924,35929,1/10/2015 6:56,12/19/2020 9:44,1,"Kerajaan meterai perjanjian pembelian vaksin COVID-19 dengan Astrazeneca Isnin ini. 
https://t.co/rRpwed5sfa
#onenews #vaksin #Astrazeneca https://t.co/JT4WbPtLfk","[{'text': 'onenews', 'indices': [130, 138]}]",541
OlsyVinoliArnof,Video ● Kopi ● Bolu,Yogyakarta,204,3968,1/24/2012 12:21,12/19/2020 9:42,0,#VaksinUntukKita termasuk Jerinx https://t.co/vlsR0pAUwy,"[{'text': 'VaksinUntukKita', 'indices': [0, 16]}]",172
potekantropus,"En attendant Godot ~ ☺
#YNWA",Land of the Giants,384,7043,10/17/2009 14:25,12/19/2020 9:36,0,"Daftar 10 Ilmuwan Berpengaruh Dunia 2020, Ada Satu dari Indonesia https://t.co/xLQwrksBsp #pakaimasker #JagaJarak #cucitangan #ingatpesanibujagajarak  #CuciTanganPakaiSabun #BersamaLawanCorona  #VaksinUntukKita #fdnbanggalokal #polricegahcorona #IndonesiaMaju #malamminggu","[{'text': 'pakaimasker', 'indices': [90, 102]}, {'text': 'JagaJarak', 'indices': [103, 113]}, {'text': 'cucitangan', 'indices': [114, 125]}, {'text': 'ingatpesanibujagajarak', 'indices': [126, 149]}, {'text': 'CuciTanganPakaiSabun', 'indices': [151, 172]}, {'text': 'BersamaLawanCorona', 'indices': [173, 192]}, {'text': 'VaksinUntukKita', 'indices': [194, 210]}, {'text': 'fdnbanggalokal', 'indices': [211, 226]}, {'text': 'polricegahcorona', 'indices': [227, 244]}, {'text': 'IndonesiaMaju', 'indices': [245, 259]}, {'text': 'malamminggu', 'indices': [260, 272]}]",1049
onenewsofficial,"MyFreeView 123 - SLOT ON VIRAL 
FB: onenews
IG: onenewsonlineofficial
email: malaysiaonenews@gmail.com","Kuala Lumpur, Malaysia",1329,143083,4/9/2013 1:59,12/19/2020 9:32,1,"Kerajaan meterai perjanjian pembelian vaksin COVID-19 dengan Astrazeneca Isnin ini. 
https://t.co/rRpwed5sfa
#onenews #vaksin #Astrazeneca https://t.co/JT4WbPtLfk","[{'text': 'onenews', 'indices': [109, 117]}, {'text': 'vaksin', 'indices': [118, 125]}, {'text': 'Astrazeneca', 'indices': [126, 138]}]",3683
PotekantropusX,• Your Digital Partner •,"NKRI, Tanah Air Beta",2593,3846,12/10/2016 4:59,12/19/2020 9:32,0,"Aksi Konyol Pria Lempar Bom Molotov ke Rumah Pacar, Sakit Hati krn Cintanya Diputus https://t.co/VsbN1tC1g7 #pakaimasker #JagaJarak #cucitangan #jagakesehatan #ingatpesanibu #CuciTanganPakaiSabun #BersamaLawanCorona  #fdnbanggalokal #FilmMelankolia #kemanusiaan #VaksinUntukKita","[{'text': 'pakaimasker', 'indices': [108, 120]}, {'text': 'JagaJarak', 'indices': [121, 131]}, {'text': 'cucitangan', 'indices': [132, 143]}, {'text': 'jagakesehatan', 'indices': [144, 158]}, {'text': 'ingatpesanibu', 'indices': [159, 173]}, {'text': 'CuciTanganPakaiSabun', 'indices': [174, 195]}, {'text': 'BersamaLawanCorona', 'indices': [196, 215]}, {'text': 'fdnbanggalokal', 'indices': [217, 232]}, {'text': 'FilmMelankolia', 'indices': [233, 248]}, {'text': 'kemanusiaan', 'indices': [249, 261]}, {'text': 'VaksinUntukKita', 'indices': [262, 278]}]",2527
KoncoLaNyalla,"akun fans berat @LaNyallaMM1 ||


hemm #LaNyalla #LaNyalla",di sini senang di sana senang ,785,6410,6/8/2017 13:12,12/19/2020 9:29,4,"Orang Pertama Penerima #VaksinCorona , LaNyalla  Apresiasi Jokowi via @spiritsumbar https://t.co/GGmtDwVLkL  #VaksinUntukKita","[{'text': 'VaksinCorona', 'indices': [23, 36]}, {'text': 'VaksinUntukKita', 'indices': [109, 125]}]",2257
ijamjoelabuk,,jabatan penerangan meradong,202,9743,5/25/2012 2:07,12/19/2020 9:24,59,"COVID-19 boleh dicegah menggunakan vaksin. 

Beginilah cara vaksin berfungsi dalam badan kita!

#KomunikasiKita
#VaksinCOVID19 
#JabatanPenerangan https://t.co/wlLG5ERx2o","[{'text': 'KomunikasiKita', 'indices': [113, 128]}]",218
namekenotbleng,,Indonesia,1458,16163,7/17/2017 9:19,12/19/2020 9:23,4,"Orang Pertama Penerima #VaksinCorona , LaNyalla  Apresiasi Jokowi via @spiritsumbar https://t.co/Fzux2evCZ7  #VaksinUntukKita","[{'text': 'VaksinCorona', 'indices': [41, 54]}]",16133
niadi_net,menembus pandang kehidupan,Bogor,0,1999,10/28/2017 22:35,12/19/2020 9:18,0,"Dilema #Pemerintah dalam Pengadaan #Vaksin #Covid19

https://t.co/U5fEbYT8b8","[{'text': 'Pemerintah', 'indices': [7, 18]}, {'text': 'Vaksin', 'indices': [35, 42]}, {'text': 'Covid19', 'indices': [43, 51]}]",15
BinNorhasmin,love an oldskool stuff,,645,8689,2/5/2020 3:04,12/19/2020 9:12,59,"COVID-19 boleh dicegah menggunakan vaksin. 

Beginilah cara vaksin berfungsi dalam badan kita!

#KomunikasiKita
#VaksinCOVID19 
#JabatanPenerangan https://t.co/wlLG5ERx2o","[{'text': 'KomunikasiKita', 'indices': [113, 128]}]",171
bambangwaluyo,,Diatas bumi seperti diSURGA,396,3150,2/13/2010 5:46,12/19/2020 9:05,1,"Siapa yang mau kembali hidup normal lagi? Yuk, kita ikut berpartisipasi dalam program vaksinasi Covid-19 sambil tetap disiplin 3M supaya pandemi bisa segera selesai.  
Sumber: https://t.co/9W707AaHLl  
#VaksinUntukKita https://t.co/HE8Bc8rhPf",[],188
VaksinUntukKita,"Tempat buat saling kasih semangat

-Cari tahu sama-sama informasi tentang vaksin 
-Belajar sama-sama lewat faktanya
-Sama-sama untuk tetap jalanin protokol 3M",Indonesia,3,294,11/8/2020 15:48,12/19/2020 9:00,1,"Siapa yang mau kembali hidup normal lagi? Yuk, kita ikut berpartisipasi dalam program vaksinasi Covid-19 sambil tetap disiplin 3M supaya pandemi bisa segera selesai.  
Sumber: https://t.co/9W707AaHLl  
#VaksinUntukKita https://t.co/HE8Bc8rhPf","[{'text': 'VaksinUntukKita', 'indices': [202, 218]}]",4919
simmanews,Portal Media Edukatif dan Inspiratif,Bandung |Promo :082136836896,14,415,9/2/2020 7:47,12/19/2020 8:59,0,"X-MOC Bandung Raya, komunitas pecinta Xpander yang tersebar di 30 provinsi yuk simak selengkapnya https://t.co/Hf7WInld5n

#motorcycle #IndonesiaNegaraHukum #Jokowi #VaksinUntukKita","[{'text': 'motorcycle', 'indices': [123, 134]}, {'text': 'IndonesiaNegaraHukum', 'indices': [135, 156]}, {'text': 'Jokowi', 'indices': [157, 164]}, {'text': 'VaksinUntukKita', 'indices': [165, 181]}]",23
Mylibradiary,Medical student,Indonesia,86,14490,10/31/2012 7:16,12/19/2020 8:56,10,"Percepatan penemuan vaksin pada dasarnya tetap memperhatikan asas keamanan dan efektivitas sesuai pengawasan BPOM sesuai standar WHO.
#VaksinUntukKita https://t.co/SLdg3cmNHi",[],27
