username,tweetcreatedts,text,tweet_clean,tweet_english
somedaybefine,4/20/2013 10:43,"Nah udah semakin paham kan tentang gimana cara kerja vaksin? Semoga dengan adanya vaksin bisa ngebantu memutus penyebaran penularan covid-19, dan kita juga harus selalu ingat untuk melaksanakan protokol 3M saat vaksinnya sudah hadir nanti ya :)

#VaksinUntukKita https://t.co/Dgq90nxMwi","Nah udah semakin paham kan tentang gimana cara kerja vaksin? Semoga dengan adanya vaksin bisa ngebantu memutus penyebaran penularan covid-19, dan kita juga harus selalu ingat untuk melaksanakan protokol 3M saat vaksinnya sudah hadir nanti ya :) #VaksinUntukKita","So you understand more about how vaccines work, right? Hopefully this vaccine can help stop the spread of covid-19 transmission, and we also have to always remember to implement the 3M protocol when the vaccine is here, okay :) #VaksinUntukKita "
AhmadKholisun,9/20/2011 4:34,"Coba share lo dapet screenshot yang mana dong gengs~ Eh tapi dapet yang manapun, yuk sama sama tetap mematuhi protokol kesehatan 3M kapanpun lo harus berada di luar rumah.

#VaksinUntukKita https://t.co/Mx3h1l4BCa","Coba share lo dapet screenshot yang mana dong gengs~ Eh tapi dapet yang manapun, yuk sama sama tetap mematuhi protokol kesehatan 3M kapanpun lo harus berada di luar rumah. #VaksinUntukKita","Try to share, which one, you got the screenshot, bro ~ Eh, but got any of them, let's keep complying with 3M's health protocol whenever you have to be outside the house. #VaccinesFor Us "
mr_elvan15,9/24/2011 5:48,"Udah makin paham kayak Bu Tejo belum nih cara kerja vaksin dan kenapa kita perlu divaksin? 

#VaksinUntukKita https://t.co/ZUGJt1K7kz",Udah makin paham kayak Bu Tejo belum nih cara kerja vaksin dan kenapa kita perlu divaksin? #VaksinUntukKita,Have you understood more and more like Bu Tejo is not yet about how vaccines work and why do we need to be vaccinated? #VaccinesFor Us 
Genpi_Co,2/23/2018 10:31,"Salah satu jenis vaksin yang mulai diuji coba adalah vaksin buatan perusahaan Jerman-Amerika Serikat, Pfizer/BioNTech. #vaksincovid-19 https://t.co/3BZ1edpEU9","Salah satu jenis vaksin yang mulai diuji coba adalah vaksin buatan perusahaan Jerman-Amerika Serikat, Pfizer/BioNTech. #vaksincovid-19","One type of vaccine that is being tested is a vaccine made by the German-United States company, Pfizer / BioNTech. # vaccincovid-19 "
kaerbekaf,1/10/2020 14:27,"Kabar gembira nih, gaes! Vaksin Covid-19 bakal diberikan gratis, gak pake syarat apa punt. Jadi buat masyarakat yang terdaftar maupun yang tidak terdaftar di BPJS Kesehatan bakal dikasih vaksinnya nih. 

#VaksinUntukKita https://t.co/69ug5JNBi6","Kabar gembira nih, gaes! Vaksin Covid-19 bakal diberikan gratis, gak pake syarat apa punt. Jadi buat masyarakat yang terdaftar maupun yang tidak terdaftar di BPJS Kesehatan bakal dikasih vaksinnya nih. #VaksinUntukKita","Good news, guys! The Covid-19 vaccine will be given free of charge, no conditions. So for people who are registered or not registered at BPJS Health, they will be given the vaccine. #VaccinesFor Us "
newsmerahputih,8/7/2014 16:00,"Gerindra menyambut baik rencana pemerintah menggratiskan vaksin COVID-19.

#merahputihcom #gerindra #vaksingratis https://t.co/BLRgjd1bhj",Gerindra menyambut baik rencana pemerintah menggratiskan vaksin COVID-19. #merahputihcom #gerindra #vaksingratis,Gerindra welcomes the government's plan to make the COVID-19 vaccine free. #merahputihcom #gerindra #vaksingratis 
Joker_blangkon,6/30/2020 0:31,"#FotoProfilBaru
Yuk..jangan malas, untk Vaksin ya👍💪

#VaksinUntukKita https://t.co/2QyHEZW464","#FotoProfilBaru Yuk..jangan malas, untk Vaksin ya #VaksinUntukKita","#FotoProfilBaru Come on ... don't be lazy, for Vaccines, #VaksinUntukKita "
woda_johan,12/13/2020 11:14,"Siapa yang mau kembali hidup normal lagi? Yuk, kita ikut berpartisipasi dalam program vaksinasi Covid-19 sambil tetap disiplin 3M supaya pandemi bisa segera selesai.  Sumber: https://t.co/PPmGOyt0eG ~ #Jubir #VaksinUntukKita #VaksinUntukKitaGRATIS https://t.co/kizpLwxIlp","Siapa yang mau kembali hidup normal lagi? Yuk, kita ikut berpartisipasi dalam program vaksinasi Covid-19 sambil tetap disiplin 3M supaya pandemi bisa segera selesai. Sumber: ~ #Jubir #VaksinUntukKita #VaksinUntukKitaGRATIS","Who wants to live a normal life again? Come on, we are participating in the Covid-19 vaccination program while remaining disciplined by 3M so that the pandemic can be over soon. Source: ~ #Jubir #VaccineUntuk Us #VaccineUtuk Us FREE "
Alfaruuq,5/20/2010 2:27,"Bisa #KembaliBertemu orang tua yang terkasih dan dirindukan memang menjadi hal yang tak ternilai bagi para tenaga kesehatan. Makanya kita sama-sama dukung mereka dengan terus menaati protokol 3M. 
#VaksinUntukKita https://t.co/Lij4qGKILa",Bisa #KembaliBertemu orang tua yang terkasih dan dirindukan memang menjadi hal yang tak ternilai bagi para tenaga kesehatan. Makanya kita sama-sama dukung mereka dengan terus menaati protokol 3M. #VaksinUntukKita,Can #Back Meeting parents who are loved and missed is indeed an invaluable thing for health workers. That's why we all support them by continuing to adhere to the 3M protocol. #VaccinesFor Us 
PMRLangkawi1,3/25/2020 16:06,"Jangan hentikan imunisasi kerana penyakit boleh meningkat kembali. 

Sayangi kesihatan kita!

#KomunikasiKita
#VaksinCOVID19 
#JabatanPenerangan https://t.co/VbLmW1fgOc",Jangan hentikan imunisasi kerana penyakit boleh meningkat kembali. Sayangi kesihatan kita! #KomunikasiKita #VaksinCOVID19 #JabatanPenerangan,Do not stop immunization as the disease may increase again. Love our health! #KomunikasiKita # VaksinCOVID19 #JabatanPenerangan 
IraSKaminsky,4/25/2013 7:24,"Dan manfaat vaksin juga harus lolos uji tentang kehalalan oleh Majlis Ulama Indonesia (MUI), tegas Pak Joko Widodo. Ini sangat penting, apalagi dibantu ormas keagamaan besar spt NU dan Muhaammadiyah. #jokowi @jokowi #vaksinuntuknegeri #vaksingratis https://t.co/Dy1uNKAImO","Dan manfaat vaksin juga harus lolos uji tentang kehalalan oleh Majlis Ulama Indonesia (MUI), tegas Pak Joko Widodo. Ini sangat penting, apalagi dibantu ormas keagamaan besar spt NU dan Muhaammadiyah. #jokowi @jokowi #vaksinuntuknegeri #vaksingratis","And the benefits of vaccines must also pass the halal test by the Indonesian Ulema Council (MUI), said Joko Widodo. This is very important, especially with the help of large religious organizations such as NU and Muhammadiyah. #myheartart @myheartart #vaksing "
IndonesiainCOL,3/12/2015 17:02,"Presiden@jokowi
Vaksin Covid-19 Untuk Indonesia GRATIS!
#vaksinuntukindonesia #vaksingratis https://t.co/Maq3KEwMlu",Presiden@jokowi Vaksin Covid-19 Untuk Indonesia GRATIS! #vaksinuntukindonesia #vaksingratis,President @ jokowi Covid-19 Vaccine for Indonesia is FREE! #vaksinuntukindonesia #vaksingratis 
JokerLincah,1/28/2020 10:35,"#FotoProfilBaru
Yuk..jangan malas, untk Vaksin ya👍💪

#VaksinUntukKita https://t.co/2QyHEZW464","#FotoProfilBaru Yuk..jangan malas, untk Vaksin ya #VaksinUntukKita","#FotoProfilBaru Come on ... don't be lazy, for Vaccines, #VaksinUntukKita "
IraSKaminsky,4/25/2013 7:24,Hal terpenting dijelaskan Pak Joko Widodo bahwa vaksinasi akan dilakukan setelah tahapan ilmiah dilakukan oleh Badan Pengawas Obat dan Makanan (BPOM).  #jokowi @jokowi #vaksinuntuknegeri #vaksingratis https://t.co/6LwJmGx0Ep,Hal terpenting dijelaskan Pak Joko Widodo bahwa vaksinasi akan dilakukan setelah tahapan ilmiah dilakukan oleh Badan Pengawas Obat dan Makanan (BPOM). #jokowi @jokowi #vaksinuntuknegeri #vaksingratis,The most important thing was explained by Pak Joko Widodo that vaccination would be carried out after the scientific stage was carried out by the Food and Drug Supervisory Agency (BPOM). #myheartart @myheartart #vaksing 
Koramil06kebon1,2/15/2018 1:39,"Kapuspen TNI: TNI Dukung Program Pelaksanaan Vaksinasi Nasional

#tni #puspentni #vaksin #COVID19 https://t.co/fvsxIatr8t",Kapuspen TNI: TNI Dukung Program Pelaksanaan Vaksinasi Nasional #tni #puspentni #vaksin #COVID19,Kapuspen TNI: TNI Supports National Vaccination Implementation Program #tni #puspentni #vaksin # COVID19 
IraSKaminsky,4/25/2013 7:24,"Pemberian vaksinasi tidak terkait dengan keanggotaan BPJS Kesehatan. Semua dapat sesuai ketentuan, seperti ditegaskan Pak Joko Widodo.  #jokowi @jokowi #vaksinuntuknegeri #vaksingratis https://t.co/iOcz8ZiOcp","Pemberian vaksinasi tidak terkait dengan keanggotaan BPJS Kesehatan. Semua dapat sesuai ketentuan, seperti ditegaskan Pak Joko Widodo. #jokowi @jokowi #vaksinuntuknegeri #vaksingratis","Vaccination is not related to BPJS Health membership. Everything can be in accordance with the provisions, as emphasized by Pak Joko Widodo. #myheartart @myheartart #vaksing "
IraSKaminsky,4/25/2013 7:24,"Nah, dalam sela-sela pemberian modal usaha mikro dan kecil, Pak @jokowi mengajak semua rakyat untuk ikut vaksinasi tanpa terkecuali. #jokowi @jokowi #vaksinuntuknegeri #vaksingratis https://t.co/Ctl4VmzT7y","Nah, dalam sela-sela pemberian modal usaha mikro dan kecil, Pak @jokowi mengajak semua rakyat untuk ikut vaksinasi tanpa terkecuali. #jokowi @jokowi #vaksinuntuknegeri #vaksingratis","So, on the sidelines of providing capital for micro and small businesses, Mr. @jokowi invited all people to take part in vaccinations without exception. #myheartart @myheartart #vaksing "
JokerLincah,1/28/2020 10:35,"@Andrazahira Makasih☺

#VaksinUntukKita",@Andrazahira Makasih #VaksinUntukKita,@Andrazahira Thank you #VaksinUntukKita 
SIrman96,11/17/2020 1:03,"#Repost @japenpahang
• • • • • •
Posted @withregram • @japenmalaysia Jangan hentikan imunisasi kerana penyakit boleh meningkat kembali. Sayangi kesihatan kita!

#KomunikasiKita
#VaksinCovid19 
#JabatanPeneranganPahang
#Penben
#phgkoi
#cmsphg
#KKMM
#Dis2020 https://t.co/8mU2mHcXss",#Repost @japenpahang Posted @withregram @japenmalaysia Jangan hentikan imunisasi kerana penyakit boleh meningkat kembali. Sayangi kesihatan kita! #KomunikasiKita #VaksinCovid19 #JabatanPeneranganPahang #Penben #phgkoi #cmsphg #KKMM #Dis2020,#Repost @japenpahang Posted @withregram @japenmalaysia Do not stop immunization because the disease can increase again. Love our health! #KomunikasiKita # VaksinCovid19 #JabatanPeneranganPahang #Penben #phgkoi #cmsphg #KKMM # Dis2020 
JokerAsam_Ur4t,10/7/2020 7:51,"#FotoProfilBaru
Yuk..jangan malas, untk Vaksin ya👍💪

#VaksinUntukKita https://t.co/2QyHEZW464","#FotoProfilBaru Yuk..jangan malas, untk Vaksin ya #VaksinUntukKita","#FotoProfilBaru Come on ... don't be lazy, for Vaccines, #VaksinUntukKita "
otwREHADSEJEDAG,8/30/2020 17:41,"#FotoProfilBaru
Yuk..jangan malas, untk Vaksin ya👍💪

#VaksinUntukKita https://t.co/2QyHEZW464","#FotoProfilBaru Yuk..jangan malas, untk Vaksin ya #VaksinUntukKita","#FotoProfilBaru Come on ... don't be lazy, for Vaccines, #VaksinUntukKita "
Si_Kumat,12/6/2020 22:17,"#FotoProfilBaru
Yuk..jangan malas, untk Vaksin ya👍💪

#VaksinUntukKita https://t.co/2QyHEZW464","#FotoProfilBaru Yuk..jangan malas, untk Vaksin ya #VaksinUntukKita","#FotoProfilBaru Come on ... don't be lazy, for Vaccines, #VaksinUntukKita "
superradioid,1/3/2017 18:07,Presiden Ajak Peran Serta Masyarakat dalam Vaksinasi Covid-19 #presidenJokoWidodo #Vaksincovid19 https://t.co/RuFUDl6jBc https://t.co/qganLJKY4s,Presiden Ajak Peran Serta Masyarakat dalam Vaksinasi Covid-19 #presidenJokoWidodo #Vaksincovid19,President Invites Public Participation in Covid-19 Vaccination #presidenJokoWidodo # Vaksincovid19 
Hin1818,6/6/2010 1:54,"Siapa yang mau kembali hidup normal lagi? Yuk, kita ikut berpartisipasi dalam program vaksinasi Covid-19 sambil tetap disiplin 3M supaya pandemi bisa segera selesai.  Sumber: https://t.co/PPmGOyt0eG ~ #Jubir #VaksinUntukKita #VaksinUntukKitaGRATIS https://t.co/kizpLwxIlp","Siapa yang mau kembali hidup normal lagi? Yuk, kita ikut berpartisipasi dalam program vaksinasi Covid-19 sambil tetap disiplin 3M supaya pandemi bisa segera selesai. Sumber: ~ #Jubir #VaksinUntukKita #VaksinUntukKitaGRATIS","Who wants to live a normal life again? Come on, we are participating in the Covid-19 vaccination program while remaining disciplined by 3M so that the pandemic can be over soon. Source: ~ #Jubir #VaccineUntuk Us #VaccineUtuk Us FREE "
unedo18,11/30/2016 6:38,"Siapa yang mau kembali hidup normal lagi? Yuk, kita ikut berpartisipasi dalam program vaksinasi Covid-19 sambil tetap disiplin 3M supaya pandemi bisa segera selesai.  Sumber: https://t.co/PPmGOyt0eG ~ #Jubir #VaksinUntukKita #VaksinUntukKitaGRATIS https://t.co/kizpLwxIlp","Siapa yang mau kembali hidup normal lagi? Yuk, kita ikut berpartisipasi dalam program vaksinasi Covid-19 sambil tetap disiplin 3M supaya pandemi bisa segera selesai. Sumber: ~ #Jubir #VaksinUntukKita #VaksinUntukKitaGRATIS","Who wants to live a normal life again? Come on, we are participating in the Covid-19 vaccination program while remaining disciplined by 3M so that the pandemic can be over soon. Source: ~ #Jubir #VaccineUntuk Us #VaccineUtuk Us FREE "
kasiyono34yahoo,4/19/2010 1:24,"Siapa yang mau kembali hidup normal lagi? Yuk, kita ikut berpartisipasi dalam program vaksinasi Covid-19 sambil tetap disiplin 3M supaya pandemi bisa segera selesai.  Sumber: https://t.co/PPmGOyt0eG ~ #Jubir #VaksinUntukKita #VaksinUntukKitaGRATIS https://t.co/kizpLwxIlp","Siapa yang mau kembali hidup normal lagi? Yuk, kita ikut berpartisipasi dalam program vaksinasi Covid-19 sambil tetap disiplin 3M supaya pandemi bisa segera selesai. Sumber: ~ #Jubir #VaksinUntukKita #VaksinUntukKitaGRATIS","Who wants to live a normal life again? Come on, we are participating in the Covid-19 vaccination program while remaining disciplined by 3M so that the pandemic can be over soon. Source: ~ #Jubir #VaccineUntuk Us #VaccineUtuk Us FREE "
BorneoIdaman,11/25/2020 8:09,Vaksin Corona untuk Masyarakat Gratis #jokowi #vaksin #covid-19 https://t.co/iK3KXItq7e,Vaksin Corona untuk Masyarakat Gratis #jokowi #vaksin #covid-19,Corona Vaccine for Free Society #jokowi #vaksin # covid-19 
fadjroeL,12/16/2008 7:06,"Siapa yang mau kembali hidup normal lagi? Yuk, kita ikut berpartisipasi dalam program vaksinasi Covid-19 sambil tetap disiplin 3M supaya pandemi bisa segera selesai.  Sumber: https://t.co/PPmGOyt0eG ~ #Jubir #VaksinUntukKita #VaksinUntukKitaGRATIS https://t.co/kizpLwxIlp","Siapa yang mau kembali hidup normal lagi? Yuk, kita ikut berpartisipasi dalam program vaksinasi Covid-19 sambil tetap disiplin 3M supaya pandemi bisa segera selesai. Sumber: ~ #Jubir #VaksinUntukKita #VaksinUntukKitaGRATIS","Who wants to live a normal life again? Come on, we are participating in the Covid-19 vaccination program while remaining disciplined by 3M so that the pandemic can be over soon. Source: ~ #Jubir #VaccineUntuk Us #VaccineUtuk Us FREE "
jacksonkumaat,7/15/2009 3:12,"Terimakasih Abang @fadjroeL yang sudah menyempatkan Waktunya hampir 2 Jam lebih bersama Kawan2 KNPI.

Semoga sehat selalu Bang..

@harisknpi 
@jacksonkumaat 

#KNPI 
#DPPKNPI 
#VAKSINCOVID19 
#FADJROELRACHMAN 
#ENERGYOFHARMONY https://t.co/1kWTUXYadB",Terimakasih Abang @fadjroeL yang sudah menyempatkan Waktunya hampir 2 Jam lebih bersama Kawan2 KNPI. Semoga sehat selalu Bang.. @harisknpi @jacksonkumaat #KNPI #DPPKNPI #VAKSINCOVID19 #FADJROELRACHMAN #ENERGYOFHARMONY,Thank you Brother @fadjroeL for spending almost 2 hours with KNPI friends. Good luck always Bang .. @harisknpi @jacksonkumaat #KNPI #DPPKNPI # VAKSINCOVID19 #FADJROELRACHMAN #ENERGYOFHARMONY 
ritaariskasari,9/2/2013 1:25,"Bisa #KembaliBertemu orang tua yang terkasih dan dirindukan memang menjadi hal yang tak ternilai bagi para tenaga kesehatan. Makanya kita sama-sama dukung mereka dengan terus menaati protokol 3M. 
#VaksinUntukKita https://t.co/Lij4qGKILa",Bisa #KembaliBertemu orang tua yang terkasih dan dirindukan memang menjadi hal yang tak ternilai bagi para tenaga kesehatan. Makanya kita sama-sama dukung mereka dengan terus menaati protokol 3M. #VaksinUntukKita,Can #Back Meeting parents who are loved and missed is indeed an invaluable thing for health workers. That's why we all support them by continuing to adhere to the 3M protocol. #VaccinesFor Us 
newsmerahputih,8/7/2014 16:00,"Masyarakat gembira akhirnya vaksin COVID-19 digratiskan.

#merahputihcom #vaksin #covid19 #gratis https://t.co/uihGFD9NTJ",Masyarakat gembira akhirnya vaksin COVID-19 digratiskan. #merahputihcom #vaksin #covid19 #gratis,The public is happy that the COVID-19 vaccine is finally free. #merahputihcom #vaccine # covid19 #free 
syahpewaris,7/24/2015 1:25,"Jangan hentikan imunisasi kerana penyakit boleh meningkat kembali. 

Sayangi kesihatan kita!

#KomunikasiKita
#VaksinCOVID19 
#JabatanPenerangan https://t.co/VbLmW1fgOc",Jangan hentikan imunisasi kerana penyakit boleh meningkat kembali. Sayangi kesihatan kita! #KomunikasiKita #VaksinCOVID19 #JabatanPenerangan,Do not stop immunization as the disease may increase again. Love our health! #KomunikasiKita # VaksinCOVID19 #JabatanPenerangan 
meilinvia,4/8/2010 3:21,"Halo #sobatkriskes, banyak mitos tentang imunisasi yang beredar di masyarakat dan menimbulkan kekhawatiran. Tetapi apa mitos tersebut benar? Simak video berikut yuk..

#mitosimunisasi #faktaimunisasi #VaksinCovid19 #imunisasi #Disiplin3M https://t.co/nW1VCXcgS8","Halo #sobatkriskes, banyak mitos tentang imunisasi yang beredar di masyarakat dan menimbulkan kekhawatiran. Tetapi apa mitos tersebut benar? Simak video berikut yuk.. #mitosimunisasi #faktaimunisasi #VaksinCovid19 #imunisasi #Disiplin3M","Hello #sobatkriskes, there are many myths about immunization circulating in the community and causing concern. But is this myth true? Check out the following video ... #mitosimmunization #factaimunization # VaksinCovid19 #immunization # Disciplin3M "
warnasulselcom,6/21/2018 16:59,"kolom terbaru @warnasulselcom menyajikan pandangan tentang vaksinasi dan imajinasi kengeriannya. 

sila dibaca gaes. 

setujukah anda divaksin?

https://t.co/KvGus9Zanc

#vaksin #covid19 #VaksinCovid19 #vaccines",kolom terbaru @warnasulselcom menyajikan pandangan tentang vaksinasi dan imajinasi kengeriannya. sila dibaca gaes. setujukah anda divaksin? #vaksin #covid19 #VaksinCovid19 #vaccines,the latest column @warnasulselcom presents an insight into vaccinations and its horrific imagination. please read it guys. did you get vaccinated? #vaksin # covid19 # VaksinCovid19 #vaccines 
Dafitnr10,9/8/2020 15:38,"Jakarta, https://t.co/4h7t65aZGe - Presiden Joko Widodo berharap agar seluruh masyarakat Indonesia mau untuk disuntik vaksin COVID-19.
#PDIPerjuangan
#PDIPerjuanganJabar
#VaksinCovid19 
https://t.co/nPyEmrcmoC","Jakarta, Presiden Joko Widodo berharap agar seluruh masyarakat Indonesia mau untuk disuntik vaksin COVID-19. #PDIPerjuangan #PDIPerjuanganJabar #VaksinCovid19","Jakarta, President Joko Widodo hopes that all Indonesian people will be injected with the COVID-19 vaccine. #PDIPerjuangan #PDIPerjuanganJabar # VaksinCovid19 "
jpnncom,10/2/2009 8:23,Organisasi Kesehatan Dunia (WHO) mengatakan negara-negara di kawasan Asia-Pasifik tidak dijamin untuk mendapat akses vaksin COVID-19 lebih awal #vaksincovid-19 https://t.co/Rv3Wc9CtRI,Organisasi Kesehatan Dunia (WHO) mengatakan negara-negara di kawasan Asia-Pasifik tidak dijamin untuk mendapat akses vaksin COVID-19 lebih awal #vaksincovid-19,The World Health Organization (WHO) says countries in the Asia-Pacific region are not guaranteed early access to the COVID-19 vaccine # vaccinescovid-19 
leogusta_,9/6/2009 14:28,Perawat pingsan setelah menerima vaksin covid di rumah sakit CHI Memorial di Amerika 🙏 #VaksinCovid19 https://t.co/WcP5znrdrY,Perawat pingsan setelah menerima vaksin covid di rumah sakit CHI Memorial di Amerika #VaksinCovid19,Nurse fainted after receiving covid vaccine at CHI Memorial Hospital in America # VaksinCovid19 
senjatambalkang,4/1/2020 7:34,"Bisa #KembaliBertemu orang tua yang terkasih dan dirindukan memang menjadi hal yang tak ternilai bagi para tenaga kesehatan. Makanya kita sama-sama dukung mereka dengan terus menaati protokol 3M. 
#VaksinUntukKita https://t.co/Lij4qGKILa",Bisa #KembaliBertemu orang tua yang terkasih dan dirindukan memang menjadi hal yang tak ternilai bagi para tenaga kesehatan. Makanya kita sama-sama dukung mereka dengan terus menaati protokol 3M. #VaksinUntukKita,Can #Back Meeting parents who are loved and missed is indeed an invaluable thing for health workers. That's why we all support them by continuing to adhere to the 3M protocol. #VaccinesFor Us 
Robi__Koto,12/12/2020 16:29,"Atau bisa pula tempuh opsi lain seperti tidak menggunakan vaksin Sinovac. Gunakan vaksin lain. Toh demi rakyat. Demi kesehatan.

#Vaksin",Atau bisa pula tempuh opsi lain seperti tidak menggunakan vaksin Sinovac. Gunakan vaksin lain. Toh demi rakyat. Demi kesehatan. #Vaksin,"Or you can take other options such as not using the Sinovac vaccine. Use another vaccine. After all, for the people. For health. #Vaccine "
Robi__Koto,12/12/2020 16:29,"Sebaiknya kumpulkan saja dahulu anak-anak bangsa yang ahli di bidang ini untuk lepas dari dugaan kita dijadikan contoh dari negara China. 

#Vaksin",Sebaiknya kumpulkan saja dahulu anak-anak bangsa yang ahli di bidang ini untuk lepas dari dugaan kita dijadikan contoh dari negara China. #Vaksin,It is better to just gather the children of the nation who are experts in this field to get rid of our allegations as an example from China. #Vaccine 
Robi__Koto,12/12/2020 16:29,"Jangan karena sudah pesan dan mungkin sudah sudah DP, kita serasa dijadikan contoh pertama atas Sinovac itu, yang keampuhan dan keamanannya masih dijadikan tanda tanya besar oleh banyak pihak, khususnya oleh politisi, pengamat, dll.

#Vaksin","Jangan karena sudah pesan dan mungkin sudah sudah DP, kita serasa dijadikan contoh pertama atas Sinovac itu, yang keampuhan dan keamanannya masih dijadikan tanda tanya besar oleh banyak pihak, khususnya oleh politisi, pengamat, dll. #Vaksin","Don't because you have ordered and maybe already have a DP, we feel like we are being used as the first example of the Sinovac, whose efficacy and safety are still a big question mark by many parties, especially by politicians, observers, etc. #Vaccine "
Robi__Koto,12/12/2020 16:29,"Kalau begitu ceritanya, menurut saya sebaiknya kita memikirkannya lagi dengan sangat matang.

#Vaksin","Kalau begitu ceritanya, menurut saya sebaiknya kita memikirkannya lagi dengan sangat matang. #Vaksin","If that's the story, I think we should think about it again very carefully. #Vaccine "
Robi__Koto,12/12/2020 16:29,"China sendiri kalau dirasa-rasa, masih ragu dengan “ciptaannya”. Makanya mereka impor vaksin lain ke negaranya. 

#Vaksin","China sendiri kalau dirasa-rasa, masih ragu dengan ciptaannya. Makanya mereka impor vaksin lain ke negaranya. #Vaksin","China itself, if you feel it, is still doubtful about its creation. That's why they import other vaccines to their country. #Vaccine "
Robi__Koto,12/12/2020 16:29,"Lantas, kita, diminta, didorong, bahkan ada kesan dipaksa untuk vaksinasi dengan Sinovac, di mana keampuhannya dan keamanannya (pun) tampak masih diragukan oleh pembuatnya sendiri (China). 

#Vaksin","Lantas, kita, diminta, didorong, bahkan ada kesan dipaksa untuk vaksinasi dengan Sinovac, di mana keampuhannya dan keamanannya (pun) tampak masih diragukan oleh pembuatnya sendiri (China). #Vaksin","Then, we are asked, encouraged, there is even the impression of being forced to vaccinate with Sinovac, where its efficacy and safety (also) appear to be doubted by the maker itself (China). #Vaccine "
Robi__Koto,12/12/2020 16:29,"Sisanya China impor dari negara lain. Bahkan ada kabar bahwa pemerintah China justru tidak menggunakan Sinovac sama sekali untuk vaksin Covid_19. Kalau benar, bahaya betul yang sudah pesan.

#Vaksin","Sisanya China impor dari negara lain. Bahkan ada kabar bahwa pemerintah China justru tidak menggunakan Sinovac sama sekali untuk vaksin Covid_19. Kalau benar, bahaya betul yang sudah pesan. #Vaksin","The rest of China imports from other countries. There is even news that the Chinese government has not used Sinovac at all for the Covid_19 vaccine. If so, the danger was true. #Vaccine "
Robi__Koto,12/12/2020 16:29,"Ini karena Pemerintah China sendiri kabarnya tidak sepenuhnya menggunakan vaksin Sinovac untuk rakyatnya. Padahal China yang menciptakan. Ragu kita.

#Vaksin",Ini karena Pemerintah China sendiri kabarnya tidak sepenuhnya menggunakan vaksin Sinovac untuk rakyatnya. Padahal China yang menciptakan. Ragu kita. #Vaksin,This is because the Chinese government itself reportedly does not fully use the Sinovac vaccine for its people. Though China created. Doubt us. #Vaccine 
Lianiceone,12/29/2010 5:26,"Kabar gembira nih, gaes! Vaksin Covid-19 bakal diberikan gratis, gak pake syarat apa punt. Jadi buat masyarakat yang terdaftar maupun yang tidak terdaftar di BPJS Kesehatan bakal dikasih vaksinnya nih. 

#VaksinUntukKita https://t.co/69ug5JNBi6","Kabar gembira nih, gaes! Vaksin Covid-19 bakal diberikan gratis, gak pake syarat apa punt. Jadi buat masyarakat yang terdaftar maupun yang tidak terdaftar di BPJS Kesehatan bakal dikasih vaksinnya nih. #VaksinUntukKita","Good news, guys! The Covid-19 vaccine will be given free of charge, no conditions. So for people who are registered or not registered at BPJS Health, they will be given the vaccine. #VaccinesFor Us "
Robi__Koto,12/12/2020 16:29,"Vaksin ini dari China. Datang dari sana. Mengapa timbul pertanyaan? Bukan karena negara komunisnya. Atau bukan karena agama mereka.

#Vaksin",Vaksin ini dari China. Datang dari sana. Mengapa timbul pertanyaan? Bukan karena negara komunisnya. Atau bukan karena agama mereka. #Vaksin,This vaccine is from China. Come from there. Why do questions arise? Not because of the communist state. Or not because of their religion. #Vaccine 
Robi__Koto,12/12/2020 16:29,"Mengikuti berita soal vaksin menimbulkan tanda tanya. Salah satunya soal keampuhan dan keamanan vaksin tersebut, sebut saja Sinovac.

#Vaksin","Mengikuti berita soal vaksin menimbulkan tanda tanya. Salah satunya soal keampuhan dan keamanan vaksin tersebut, sebut saja Sinovac. #Vaksin","Following news about vaccines raises question marks. One of them is about the efficacy and safety of the vaccine, let's call it Sinovac. #Vaccine "
JapenSPU2019,4/15/2019 3:54,"Apkah kandungan dalam vaksin?

Sumber : @KKMPutrajaya 

#VaksinUntukKita 
#COVID19 
#JabatanPenerangan
#JapenPenang https://t.co/acO482UvEj",Apkah kandungan dalam vaksin? Sumber : @KKMPutrajaya #VaksinUntukKita #COVID19 #JabatanPenerangan #JapenPenang,What is the content of the vaccine? Source: @KKMPutrajaya #VaksinUntukKita # COVID19 #JabatanPenerangan #JapenPenang 
PMRPasirPuteh,12/17/2018 5:43,"Jangan hentikan imunisasi kerana penyakit boleh meningkat kembali. 

Sayangi kesihatan kita!

#KomunikasiKita
#VaksinCOVID19 
#JabatanPenerangan https://t.co/VbLmW1fgOc",Jangan hentikan imunisasi kerana penyakit boleh meningkat kembali. Sayangi kesihatan kita! #KomunikasiKita #VaksinCOVID19 #JabatanPenerangan,Do not stop immunization as the disease may increase again. Love our health! #KomunikasiKita # VaksinCOVID19 #JabatanPenerangan 
nila_shafira,1/13/2013 2:14,"Jangan hentikan imunisasi kerana penyakit boleh meningkat kembali. 

Sayangi kesihatan kita!

#KomunikasiKita
#VaksinCOVID19 
#JabatanPenerangan https://t.co/VbLmW1fgOc",Jangan hentikan imunisasi kerana penyakit boleh meningkat kembali. Sayangi kesihatan kita! #KomunikasiKita #VaksinCOVID19 #JabatanPenerangan,Do not stop immunization as the disease may increase again. Love our health! #KomunikasiKita # VaksinCOVID19 #JabatanPenerangan 
